brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Mazda,6,2019.0,21000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,525000000
Chevrolet,Spark,2017.0,12.0,Xăng,Số sàn,Việt Nam,Hatchback,5.0,75000000
VinFast,VF3,2025.0,0.0,Điện,Tự động,Việt Nam,SUV / Cross over,4.0,225000000
Ford,Ranger,2023.0,68000.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,630000000
Mercedes Benz,C Class,2011.0,140000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,310000000
Honda,Civic,2006.0,126000.0,Xăng,Số sàn,Nước khác,Hatchback,5.0,186000000
Mitsubishi,Grandis,2005.0,125000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),5.0,158000000
Toyota,1116,2022.0,38000.0,Xăng,Tự động,Nước khác,Minivan (MPV),9.0,585000000
Ford,Ranger,2014.0,179000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,339000000
Mazda,3,2019.0,65412.0,Xăng,Tự động,Việt Nam,Sedan,5.0,550000000
Ford,Fiesta,2014.0,70000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,259000000
Mitsubishi,Xpander,2022.0,66000.0,Xăng,Tự động,Nước khác,Minivan (MPV),9.0,540000000
Nissan,Navara,2020.0,45000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,495000000
Mercedes Benz,C Class,2016.0,65000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,679000000
Chevrolet,Colorado,2017.0,85000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,296000000
Ford,EcoSport,2019.0,52999.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,435000000
Toyota,Fortuner,2020.0,35000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,5.0,890000000
Mercedes Benz,C Class,2020.0,38000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,999000000
Hyundai,Grand i10,2017.0,91000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,385000000
Suzuki,Ertiga,2019.0,100000.0,Xăng,Số sàn,Nước khác,SUV / Cross over,7.0,340000000
Mercedes Benz,S Class,2019.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,2299000000
Mazda,CX 5,2020.0,42000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,660000000
Kia,Carnival,2022.0,30000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,1309000000
Mitsubishi,Xpander,2021.0,40000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,525000000
Mitsubishi,Mirage,2018.0,70000.0,Xăng,Tự động,Thái Lan,Hatchback,5.0,250000000
Hyundai,Stargazer,2022.0,60000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,475000000
Toyota,Corolla Cross,2021.0,25000.0,Xăng,5,Việt Nam,SUV / Cross over,5.0,699000000
Ford,Ranger,2021.0,38000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,755000000
Mercedes Benz,GLC,2022.0,9000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,1459000000
Mitsubishi,Xpander,2019.0,40000.0,Xăng,Tự động,Nước khác,Minivan (MPV),5.0,465000000
Kia,Cerato,2019.0,75000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,440000000
Toyota,Camry,2016.0,84000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,570000000
Toyota,Innova,2018.0,68000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,550000000
Chevrolet,Aveo,2014.0,199000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,138000000
Toyota,Innova,2008.0,200000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,175000000
Suzuki,Ertiga,2022.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,7.0,475000000
Toyota,Camry,2009.0,90000.0,Xăng,Tự động,Việt Nam,Sedan,4.0,380000000
Mitsubishi,Pajero Sport,2014.0,67000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,365000000
Mitsubishi,Grandis,2005.0,127000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,199000000
Mitsubishi,Attrage,2023.0,82000.0,Xăng,Số sàn,Thái Lan,Sedan,5.0,299000000
Kia,Morning,2012.0,123456.0,Xăng,Số sàn,Hàn Quốc,Hatchback,5.0,135000000
Lexus,LX,2016.0,93000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,8.0,4870000000
Ford,Fiesta,2011.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,190000000
BMW,3 Series,2009.0,150000.0,Xăng,Tự động,Đức,Sedan,5.0,265000000
Daewoo,Matiz,2005.0,150000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,85000000
Chevrolet,Spark,2014.0,109964.0,Xăng,Tự động,Việt Nam,Sedan,5.0,162000000
Ford,EcoSport,2018.0,28000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,388000000
Mercedes Benz,S Class,2016.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1280000000
Suzuki,XL 7,2024.0,26000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,555000000
Hyundai,Stargazer,2023.0,65000.0,Xăng,Tự động,Nước khác,Kiểu dáng khác,5.0,483000000
Kia,Spectra,2004.0,0.0,Xăng,Số sàn,Hàn Quốc,Sedan,5.0,53000000
Mercedes Benz,S Class,2015.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1399000000
Toyota,Rush,2021.0,57000.0,Xăng,Tự động,Thái Lan,Minivan (MPV),7.0,525000000
Mercedes Benz,C Class,2015.0,90000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,569000000
Toyota,Vios,2017.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,335000000
Mitsubishi,Grandis,2008.0,140000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,268000000
Toyota,Innova,2008.0,156789.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,155000000
VinFast,Lux A2.0,2020.0,19000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,570000000
Nissan,X trail,2019.0,62000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,629000000
Ford,Ranger,2018.0,87000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,598000000
Hyundai,Santa Fe,2008.0,60000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,268000000
Mercedes Benz,E Class,2017.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1085000000
Toyota,Innova,2022.0,72600.0,Xăng,Tự động,Việt Nam,SUV / Cross over,8.0,719000000
Hyundai,Accent,2022.0,30000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,405000000
