brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Toyota,Corolla Altis,2022.0,25500.0,Xăng,Tự động,Thái Lan,Sedan,6.0,640000000
Hyundai,Sonata,2011.0,65000.0,Xăng,Tự động,Hàn Quốc,Sedan,5.0,320000000
Toyota,Innova,2016.0,90000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,255000000
Mercedes Benz,GLC Class,2020.0,56000.0,Xăng,Tự động,Đức,Hatchback,5.0,1599000000
Toyota,Innova,2018.0,90000.0,Xăng,Số sàn,Nhật Bản,Minivan (MPV),8.0,459000000
Ford,Ranger,2024.0,50000.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,685000000
Toyota,Innova,2019.0,175000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,440000000
Isuzu,Mu X,2018.0,25000.0,Dầu,Tự động,Thái Lan,Minivan (MPV),7.0,665000000
Mazda,3,2023.0,19000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,558000000
Toyota,Innova,2019.0,87000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,610000000
Mercedes Benz,GLC,2019.0,63000.0,Xăng,Tự động,Đức,SUV / Cross over,5.0,1199000000
Ford,Everest,2022.0,33000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,9.0,1194000000
Toyota,Avanza Premio,2022.0,61000.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,7.0,435000000
Ford,EcoSport,2020.0,50000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,490000000
VinFast,Fadil,2020.0,77000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,315000000
Mazda,3,2019.0,33000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,600000000
VinFast,Fadil,2019.0,40000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,315000000
Mercedes Benz,S Class,2017.0,69000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1999000000
Mazda,CX 8,2020.0,70000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,740000000
Toyota,Fortuner,2014.0,152000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,485000000
