brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Mitsubishi,Xpander,2019.0,40000.0,Xăng,Tự động,Nước khác,Minivan (MPV),5.0,Đã sử dụng,465000000
Kia,Cerato,2019.0,75000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,440000000
Toyota,Camry,2016.0,84000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,Đã sử dụng,570000000
Toyota,Innova,2018.0,68000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,550000000
Chevrolet,Aveo,2014.0,199000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,138000000
Toyota,Innova,2008.0,200000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,175000000
Suzuki,Ertiga,2022.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,7.0,Đã sử dụng,475000000
Toyota,Camry,2009.0,90000.0,Xăng,Tự động,Việt Nam,Sedan,4.0,Đã sử dụng,380000000
Mitsubishi,Pajero Sport,2014.0,67000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,365000000
Mitsubishi,Grandis,2005.0,127000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,199000000
Mitsubishi,Attrage,2023.0,82000.0,Xăng,Số sàn,Thái Lan,Sedan,5.0,Đã sử dụng,299000000
Kia,Morning,2012.0,123456.0,Xăng,Số sàn,Hàn Quốc,Hatchback,5.0,Đã sử dụng,135000000
Lexus,LX,2016.0,93000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,8.0,Đã sử dụng,4870000000
Ford,Fiesta,2011.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,190000000
BMW,3 Series,2009.0,150000.0,Xăng,Tự động,Đức,Sedan,5.0,Đã sử dụng,265000000
Chevrolet,Spark,2014.0,109964.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,162000000
Ford,EcoSport,2018.0,28000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,388000000
Mercedes Benz,S Class,2016.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1280000000
Suzuki,XL 7,2024.0,26000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,555000000
Hyundai,Stargazer,2023.0,65000.0,Xăng,Tự động,Nước khác,Kiểu dáng khác,5.0,Đã sử dụng,483000000
Mercedes Benz,S Class,2015.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1399000000
